,uid
970,11722.0
971,12091.0
972,12114.0
973,11990.0
974,12015.0
975,12212.0
976,12125.0
977,12102.0
978,11968.0
979,12033.0
980,12129.0
981,12246.0
982,12655.0
983,12697.0
984,12496.0
985,12573.0
986,12632.0
987,12694.0
988,12928.0
989,13003.0
990,12503.0
991,12545.0
992,13093.0
993,13128.0
994,13074.0
995,13129.0
996,12867.0
997,12930.0
998,13539.0
999,13573.0
1000,13496.0
1001,13561.0
1002,13292.0
1003,13357.0
1004,13321.0
1005,13420.0
1006,13771.0
1007,13863.0
1008,13765.0
1009,13823.0
1010,13985.0
1011,14037.0
1012,13963.0
1013,14045.0
1014,14361.0
1015,14270.0
1016,14268.0
1017,14320.0
1018,14512.0
1019,14551.0
1020,14475.0
1021,14544.0
1022,14754.0
1023,14907.0
1024,14794.0
1025,14881.0
1026,14943.0
1027,15104.0
1028,15064.0
1029,14975.0
1030,15535.0
1031,15641.0
1032,15604.0
1033,15642.0
1034,15345.0
1035,15400.0
1036,15349.0
1037,15445.0
1038,16139.0
1039,16198.0
1040,15899.0
1041,15964.0
1042,16646.0
1043,16577.0
1044,16483.0
1045,16099.0
1046,16201.0
1047,15898.0
1048,16013.0
1049,16440.0
1050,16484.0
1051,16569.0
1052,16912.0
1053,16936.0
1054,9262.0
1055,9012.0
1056,9161.0
1057,9220.0
1058,9414.0
1059,12185.0
1060,12234.0
1061,12281.0
1062,12026.0
1063,11976.0
1064,12024.0
1065,11991.0
1066,11814.0
1067,11863.0
1068,11819.0
1069,11875.0
1070,11541.0
1071,11594.0
1072,11372.0
1073,11447.0
1074,11382.0
1075,11442.0
1076,11551.0
1077,11589.0
1078,10330.0
1079,10371.0
1080,10946.0
1081,11021.0
1082,10307.0
1083,10369.0
1084,11092.0
1085,11123.0
1086,11165.0
1087,10179.0
1088,10222.0
1089,11119.0
1090,11171.0
1091,10547.0
1092,10609.0
1093,10777.0
1094,10730.0
1095,10173.0
1096,10224.0
1097,10956.0
1098,10975.0
1099,10733.0
1100,10764.0
1101,9835.0
1102,9888.0
1103,9477.0
1104,9522.0
1105,9630.0
1106,9689.0
1107,9470.0
1108,9540.0
1109,9150.0
1110,9202.0
1111,10011.0
1112,35579.0
1113,32470.0
1114,32478.0
1115,1752.0
1116,1243.0
1117,1254.0
1118,20834.0
1119,21091.0
1120,21063.0
1121,21124.0
1122,22519.0
1123,22560.0
1124,22613.0
1125,22708.0
1126,22750.0
1127,22825.0
1128,22836.0
1129,22746.0
1130,22827.0
1131,22679.0
1132,23387.0
1133,23425.0
1134,23639.0
1135,23479.0
1136,23737.0
1137,27704.0
1138,27741.0
1139,27651.0
1140,27642.0
1141,28130.0
1142,28170.0
1143,27825.0
1144,4777.0
1145,4825.0
1146,4645.0
1147,4710.0
1148,36253.0
1149,36590.0
1150,35902.0
1151,35869.0
1152,35777.0
1153,35430.0
1154,35446.0
1155,35584.0
1156,35602.0
1157,35356.0
1158,35359.0
1159,35373.0
1160,38424.0
1161,10356.0
1162,10395.0
1163,20643.0
1164,27518.0
1165,12406.0
1166,12416.0
1167,12557.0
1168,12444.0
1169,12552.0
1170,9909.0
1171,10086.0
1172,9747.0
1173,9931.0
1174,9668.0
1175,13542.0
1176,13569.0
1177,13553.0
1178,13716.0
1179,10907.0
1180,10947.0
1181,10858.0
1182,10899.0
1183,11246.0
1184,11280.0
1185,10929.0
1186,10976.0
1187,10287.0
1188,10329.0
1189,11168.0
1190,11206.0
