i,j,len,width,slope,eid
9841,9904,24.904398532813595,-1.0,1.173157334327698,94
9929,9955,19.134841432043327,-1.0,0.479079037904739,95
9804,9884,22.252021784229033,-1.0,1.05557656288147,96
7437,7445,3.2744616723564772,-1.0,0.0,97
7432,7437,4.7803983889462085,-1.0,0.0,98
6935,6975,7.581600798114089,-1.0,0.755676805973053,99
7957,7962,2.017227490486486,-1.0,0.0,100
7970,7962,1.548943220150809,-1.0,0.0,101
7970,7975,1.6308444654490513,-1.0,0.0,102
7216,7219,3.3669483485421794,-1.0,0.0,103
7210,7216,4.853587624439027,-1.0,0.0,104
8293,8302,5.658762993371026,-1.0,0.0,105
8230,8243,3.3625050247817496,-1.0,0.0,106
8222,8230,3.453130222440477,-1.0,0.0,107
6933,6942,2.959068429728031,-1.0,0.0,108
6942,6958,4.055069807226362,-1.0,0.0,109
6958,6962,1.369507349327186,-1.0,0.0,110
7919,7924,2.155053439336078,-1.0,0.0,111
7924,7933,2.526350661040945,-1.0,0.0,112
8709,8725,5.164759032520626,-1.0,0.0,113
7001,7016,2.739999222625863,-1.0,0.0,114
7016,7032,3.9964146265512417,-1.0,0.0,115
7032,7037,1.3920592895648962,-1.0,0.0,116
7325,7329,2.181830090570074,-1.0,0.0,117
7324,7329,4.608885277188186,-1.0,0.0,118
7322,7324,2.2996169106400353,-1.0,0.0,119
7721,7735,5.0001979296563,-1.0,0.0,120
7735,7740,2.9939848368510504,-1.0,0.0,121
6979,6995,4.549430730840987,-1.0,0.0,122
6995,7007,4.426651582894108,-1.0,0.0,123
8618,8628,6.323161443759788,-1.0,0.090614549815655,124
8219,8224,2.1532729597973304,-1.0,0.0,125
8224,8228,3.601858895846338,-1.0,0.0,126
9103,9117,6.619701054622892,-1.0,1.47107720375061,127
6872,6882,3.5822741621652816,-1.0,0.0,128
6866,6872,2.767430725282856,-1.0,0.0,129
6345,6351,2.38826510541298,-1.0,0.0,130
6340,6345,3.1330014499378835,-1.0,0.0,131
4330,4333,2.6888031166896096,-1.0,0.0,132
4333,4349,3.7409408774586077,-1.0,0.0,133
4524,4534,3.4409086305287278,-1.0,0.0,134
4516,4524,5.6764015585601175,-1.0,0.0,135
4502,4516,2.902237877295035,-1.0,0.0,136
5404,5417,2.6086438743461664,-1.0,0.0,137
5402,5404,3.3266352844625144,-1.0,0.0,138
4002,4053,13.151197677199038,-1.0,0.697036385536194,139
6425,6438,6.228134820902017,-1.0,0.55195289850235,140
6011,6021,2.1198100411070278,-1.0,0.0,141
6021,6031,3.109281917827649,-1.0,0.0,142
6472,6489,6.580997557742517,-1.0,0.087064377963543,143
6334,6348,6.175773048458646,-1.0,0.0,144
5928,5939,3.034377809476249,-1.0,0.0,145
5908,5928,2.496140355022022,-1.0,0.0,146
4940,4949,3.0009768490798963,-1.0,0.0,147
4934,4940,3.1935674913024252,-1.0,0.0,148
4294,4302,4.344877394462754,-1.0,0.0,149
4261,4294,7.77088350132676,-1.0,0.442382454872131,150
5573,5619,9.589188745495754,-1.0,0.0,151
6372,6378,3.186165868315959,-1.0,0.0,152
6378,6388,2.2972770707753973,-1.0,0.0,153
6470,6474,2.3747084371650757,-1.0,0.0,154
6474,6490,3.1890308594264236,-1.0,0.0,155
5906,5949,5.770067480176136,-1.0,0.0,156
4727,4734,3.306790666590554,-1.0,0.0,157
4734,4735,2.737813645492395,-1.0,0.0,158
5254,5266,3.278745927733091,-1.0,0.0,159
3992,4008,4.305706591017018,-1.0,0.0,160
3840,3940,21.744978405999063,-1.0,0.289835274219513,161
4119,4148,9.947518376523895,-1.0,0.115195855498314,162
4070,4092,10.45046436940638,-1.0,2.848605632781982,163
4092,4119,14.683680875858169,-1.0,3.235221147537231,164
